,indicator,time_offset
2014-07-09 21:00:00,1,-60
2014-07-09 21:01:00,1,-59
2014-07-09 21:02:00,1,-58
2014-07-09 21:03:00,1,-57
2014-07-09 21:04:00,1,-56
2014-07-09 21:05:00,1,-55
2014-07-09 21:06:00,1,-54
2014-07-09 21:07:00,1,-53
2014-07-09 21:08:00,1,-52
2014-07-09 21:09:00,1,-51
2014-07-09 21:10:00,1,-50
2014-07-09 21:11:00,1,-49
2014-07-09 21:12:00,1,-48
2014-07-09 21:13:00,1,-47
2014-07-09 21:14:00,1,-46
2014-07-09 21:15:00,1,-45
2014-07-09 21:16:00,1,-44
2014-07-09 21:17:00,1,-43
2014-07-09 21:18:00,1,-42
2014-07-09 21:19:00,1,-41
2014-07-09 21:20:00,1,-40
2014-07-09 21:21:00,1,-39
2014-07-09 21:22:00,1,-38
2014-07-09 21:23:00,1,-37
2014-07-09 21:24:00,1,-36
2014-07-09 21:25:00,1,-35
2014-07-09 21:26:00,1,-34
2014-07-09 21:27:00,1,-33
2014-07-09 21:28:00,1,-32
2014-07-09 21:29:00,1,-31
2014-07-09 21:30:00,1,-30
2014-07-09 21:31:00,1,-29
2014-07-09 21:32:00,1,-28
2014-07-09 21:33:00,1,-27
2014-07-09 21:34:00,1,-26
2014-07-09 21:35:00,1,-25
2014-07-09 21:36:00,1,-24
2014-07-09 21:37:00,1,-23
2014-07-09 21:38:00,1,-22
2014-07-09 21:39:00,1,-21
2014-07-09 21:40:00,1,-20
2014-07-09 21:41:00,1,-19
2014-07-09 21:42:00,1,-18
2014-07-09 21:43:00,1,-17
2014-07-09 21:44:00,1,-16
2014-07-09 21:45:00,1,-15
2014-07-09 21:46:00,1,-14
2014-07-09 21:47:00,1,-13
2014-07-09 21:48:00,1,-12
2014-07-09 21:49:00,1,-11
2014-07-09 21:50:00,1,-10
2014-07-09 21:51:00,1,-9
2014-07-09 21:52:00,1,-8
2014-07-09 21:53:00,1,-7
2014-07-09 21:54:00,1,-6
2014-07-09 21:55:00,1,-5
2014-07-09 21:56:00,1,-4
2014-07-09 21:57:00,1,-3
2014-07-09 21:58:00,1,-2
2014-07-09 21:59:00,1,-1
2014-07-09 22:00:00,1,0
2014-07-09 22:01:00,1,1
2014-07-09 22:02:00,1,2
2014-07-09 22:03:00,1,3
2014-07-09 22:04:00,1,4
2014-07-09 22:05:00,1,5
2014-07-09 22:06:00,1,6
2014-07-09 22:07:00,1,7
2014-07-09 22:08:00,1,8
2014-07-09 22:09:00,1,9
2014-07-09 22:10:00,1,10
2014-07-09 22:11:00,1,11
2014-07-09 22:12:00,1,12
2014-07-09 22:13:00,1,13
2014-07-09 22:14:00,1,14
2014-07-09 22:15:00,1,15
2014-07-09 22:16:00,1,16
2014-07-09 22:17:00,1,17
2014-07-09 22:18:00,1,18
2014-07-09 22:19:00,1,19
2014-07-09 22:20:00,1,20
2014-07-09 22:21:00,1,21
2014-07-09 22:22:00,1,22
2014-07-09 22:23:00,1,23
2014-07-09 22:24:00,1,24
2014-07-09 22:25:00,1,25
2014-07-09 22:26:00,1,26
2014-07-09 22:27:00,1,27
2014-07-09 22:28:00,1,28
2014-07-09 22:29:00,1,29
2014-07-09 22:30:00,1,30
2014-07-09 22:31:00,1,31
2014-07-09 22:32:00,1,32
2014-07-09 22:33:00,1,33
2014-07-09 22:34:00,1,34
2014-07-09 22:35:00,1,35
2014-07-09 22:36:00,1,36
2014-07-09 22:37:00,1,37
2014-07-09 22:38:00,1,38
2014-07-09 22:39:00,1,39
2014-07-09 22:40:00,1,40
2014-07-09 22:41:00,1,41
2014-07-09 22:42:00,1,42
2014-07-09 22:43:00,1,43
2014-07-09 22:44:00,1,44
2014-07-09 22:45:00,1,45
2014-07-09 22:46:00,1,46
2014-07-09 22:47:00,1,47
2014-07-09 22:48:00,1,48
2014-07-09 22:49:00,1,49
2014-07-09 22:50:00,1,50
2014-07-09 22:51:00,1,51
2014-07-09 22:52:00,1,52
2014-07-09 22:53:00,1,53
2014-07-09 22:54:00,1,54
2014-07-09 22:55:00,1,55
2014-07-09 22:56:00,1,56
2014-07-09 22:57:00,1,57
2014-07-09 22:58:00,1,58
2014-07-09 22:59:00,1,59
2014-07-09 23:00:00,1,60
2014-07-09 23:01:00,1,61
2014-07-09 23:02:00,1,62
2014-07-09 23:03:00,1,63
2014-07-09 23:04:00,1,64
2014-07-09 23:05:00,1,65
2014-07-09 23:06:00,1,66
2014-07-09 23:07:00,1,67
2014-07-09 23:08:00,1,68
2014-07-09 23:09:00,1,69
2014-07-09 23:10:00,1,70
2014-07-09 23:11:00,1,71
2014-07-09 23:12:00,1,72
2014-07-09 23:13:00,1,73
2014-07-09 23:14:00,1,74
2014-07-09 23:15:00,1,75
2014-07-09 23:16:00,1,76
2014-07-09 23:17:00,1,77
2014-07-09 23:18:00,1,78
2014-07-09 23:19:00,1,79
2014-07-09 23:20:00,1,80
2014-07-09 23:21:00,1,81
2014-07-09 23:22:00,1,82
2014-07-09 23:23:00,1,83
2014-07-09 23:24:00,1,84
2014-07-09 23:25:00,1,85
2014-07-09 23:26:00,1,86
2014-07-09 23:27:00,1,87
2014-07-09 23:28:00,1,88
2014-07-09 23:29:00,1,89
2014-07-09 23:30:00,1,90
2014-07-09 23:31:00,1,91
2014-07-09 23:32:00,1,92
2014-07-09 23:33:00,1,93
2014-07-09 23:34:00,1,94
2014-07-09 23:35:00,1,95
2014-07-09 23:36:00,1,96
2014-07-09 23:37:00,1,97
2014-07-09 23:38:00,1,98
2014-07-09 23:39:00,1,99
2014-07-09 23:40:00,1,100
2014-07-09 23:41:00,1,101
2014-07-09 23:42:00,1,102
2014-07-09 23:43:00,1,103
2014-07-09 23:44:00,1,104
2014-07-09 23:45:00,1,105
2014-07-09 23:46:00,1,106
2014-07-09 23:47:00,1,107
2014-07-09 23:48:00,1,108
2014-07-09 23:49:00,1,109
2014-07-09 23:50:00,1,110
2014-07-09 23:51:00,1,111
2014-07-09 23:52:00,1,112
2014-07-09 23:53:00,1,113
2014-07-09 23:54:00,1,114
2014-07-09 23:55:00,1,115
2014-07-09 23:56:00,1,116
2014-07-09 23:57:00,1,117
2014-07-09 23:58:00,1,118
2014-07-09 23:59:00,1,119
