,indicator,time_offset
2014-07-09 05:00:00,1,-60
2014-07-09 05:01:00,1,-59
2014-07-09 05:02:00,1,-58
2014-07-09 05:03:00,1,-57
2014-07-09 05:04:00,1,-56
2014-07-09 05:05:00,1,-55
2014-07-09 05:06:00,1,-54
2014-07-09 05:07:00,1,-53
2014-07-09 05:08:00,1,-52
2014-07-09 05:09:00,1,-51
2014-07-09 05:10:00,1,-50
2014-07-09 05:11:00,1,-49
2014-07-09 05:12:00,1,-48
2014-07-09 05:13:00,1,-47
2014-07-09 05:14:00,1,-46
2014-07-09 05:15:00,1,-45
2014-07-09 05:16:00,1,-44
2014-07-09 05:17:00,1,-43
2014-07-09 05:18:00,1,-42
2014-07-09 05:19:00,1,-41
2014-07-09 05:20:00,1,-40
2014-07-09 05:21:00,1,-39
2014-07-09 05:22:00,1,-38
2014-07-09 05:23:00,1,-37
2014-07-09 05:24:00,1,-36
2014-07-09 05:25:00,1,-35
2014-07-09 05:26:00,1,-34
2014-07-09 05:27:00,1,-33
2014-07-09 05:28:00,1,-32
2014-07-09 05:29:00,1,-31
2014-07-09 05:30:00,1,-30
2014-07-09 05:31:00,1,-29
2014-07-09 05:32:00,1,-28
2014-07-09 05:33:00,1,-27
2014-07-09 05:34:00,1,-26
2014-07-09 05:35:00,1,-25
2014-07-09 05:36:00,1,-24
2014-07-09 05:37:00,1,-23
2014-07-09 05:38:00,1,-22
2014-07-09 05:39:00,1,-21
2014-07-09 05:40:00,1,-20
2014-07-09 05:41:00,1,-19
2014-07-09 05:42:00,1,-18
2014-07-09 05:43:00,1,-17
2014-07-09 05:44:00,1,-16
2014-07-09 05:45:00,1,-15
2014-07-09 05:46:00,1,-14
2014-07-09 05:47:00,1,-13
2014-07-09 05:48:00,1,-12
2014-07-09 05:49:00,1,-11
2014-07-09 05:50:00,1,-10
2014-07-09 05:51:00,1,-9
2014-07-09 05:52:00,1,-8
2014-07-09 05:53:00,1,-7
2014-07-09 05:54:00,1,-6
2014-07-09 05:55:00,1,-5
2014-07-09 05:56:00,1,-4
2014-07-09 05:57:00,1,-3
2014-07-09 05:58:00,1,-2
2014-07-09 05:59:00,1,-1
2014-07-09 06:00:00,1,0
2014-07-09 06:01:00,1,1
2014-07-09 06:02:00,1,2
2014-07-09 06:03:00,1,3
2014-07-09 06:04:00,1,4
2014-07-09 06:05:00,1,5
2014-07-09 06:06:00,1,6
2014-07-09 06:07:00,1,7
2014-07-09 06:08:00,1,8
2014-07-09 06:09:00,1,9
2014-07-09 06:10:00,1,10
2014-07-09 06:11:00,1,11
